frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,307.635,2.834,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,,,,,,,,,,
1,0.033333,37.899,5.589,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.702841,0.872826,782,156,0.259259,ACQUIRING STAND 1/4,,,,,,,,,,
2,0.066667,32.135,7.258,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
3,0.100000,30.898,10.224,1449,0,0,0.867214,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
4,0.133333,31.592,10.901,1015,0,59,0.803775,0.000000,0.737572,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
5,0.166667,32.838,12.831,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
6,0.200000,37.361,13.018,0,0,77,0.000000,0.000000,0.760280,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
7,0.233333,33.237,14.762,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.702841,0.872826,782,156,0.259259,STAND TARGET JUMP REJECTED,,,,,,,,,,
8,0.266667,34.083,14.793,785,0,0,0.775122,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,STAND TARGET JUMP REJECTED,,,,,,,,,,
9,0.300000,31.287,14.934,1485,0,0,0.852675,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.949853,0.586691,726,486,0.885185,ACQUIRING STAND 1/4,,,,,,,,,,
