frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,278.955,3.083,26,0,0,0.725884,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,,,,,,,,,,
1,0.033333,63.970,4.053,282,0,0,0.769530,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.701628,0.723229,908,80,0.110185,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,63.449,4.918,388,0,0,0.777807,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
3,0.100000,62.719,6.330,535,0,0,0.794261,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
4,0.133333,61.905,6.929,540,0,0,0.796745,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
5,0.166667,61.136,8.065,538,0,0,0.791486,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
6,0.200000,62.073,8.395,520,0,0,0.791269,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
7,0.233333,62.279,9.289,561,0,0,0.799795,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
8,0.266667,61.786,9.400,486,0,0,0.787716,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
9,0.300000,63.665,9.488,417,0,0,0.780306,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.711150,0.706436,742,72,0.133333,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
10,0.333333,60.964,9.651,355,0,0,0.773969,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
11,0.366667,61.497,10.383,389,0,0,0.778169,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
12,0.400000,61.779,10.388,620,0,0,0.800098,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
13,0.433333,61.432,10.987,704,0,0,0.804552,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
14,0.466667,62.315,10.853,713,0,0,0.804709,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
15,0.500000,62.254,11.364,700,0,0,0.805276,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
16,0.533333,62.016,11.190,751,0,0,0.807105,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
17,0.566667,61.371,11.058,661,0,0,0.801879,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.691790,0.755479,740,78,0.106481,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
18,0.600000,63.208,10.919,686,0,0,0.803575,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
19,0.633333,63.326,11.390,692,0,0,0.801634,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
20,0.666667,63.227,11.116,671,0,0,0.799979,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
21,0.700000,68.431,11.430,626,0,0,0.797799,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
22,0.733333,62.750,11.218,518,0,0,0.791536,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
23,0.766667,63.021,11.641,542,0,0,0.792222,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.691790,0.755479,740,78,0.106481,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
24,0.800000,63.098,11.424,628,0,0,0.797147,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
25,0.833333,62.050,11.264,693,0,0,0.797682,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
26,0.866667,61.986,11.136,734,0,0,0.799638,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
27,0.900000,61.388,11.055,816,0,0,0.799707,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
28,0.933333,63.458,10.867,827,0,0,0.803540,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
29,0.966667,61.885,10.805,737,0,0,0.803214,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,,,,,,,,,,
30,1.000000,62.112,10.710,827,0,0,0.804092,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.705885,0.653299,932,76,0.118519,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
31,1.033333,63.623,11.209,677,0,0,0.800969,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.705885,0.653299,932,76,0.118519,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
32,1.066667,62.112,11.073,651,0,0,0.800236,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
33,1.100000,61.521,11.586,651,0,0,0.802057,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
34,1.133333,61.880,11.416,711,0,0,0.808322,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
35,1.166667,61.382,11.882,657,0,0,0.801222,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
36,1.200000,62.468,11.628,524,0,0,0.792969,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
37,1.233333,62.396,12.026,779,0,0,0.810126,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.705885,0.653299,932,76,0.118519,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
38,1.266667,62.270,11.766,648,0,0,0.802019,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
39,1.300000,60.560,11.596,542,0,0,0.795428,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
40,1.333333,61.963,11.415,567,0,0,0.800775,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
41,1.366667,62.664,11.248,526,0,0,0.798391,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
42,1.400000,63.847,11.084,495,0,0,0.793553,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
43,1.433333,61.587,10.999,408,0,0,0.784448,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
44,1.466667,63.268,10.890,457,0,0,0.791145,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
45,1.500000,62.458,10.755,422,0,0,0.785630,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
