frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,280.466,3.094,1717,0,0,0.828632,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,,,,,,,,,,
1,0.033333,65.287,4.037,1776,0,0,0.839841,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.701628,0.723229,908,80,0.110185,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,62.053,4.970,1789,0,0,0.839976,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
3,0.100000,62.075,6.345,1811,0,0,0.840606,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
4,0.133333,61.975,6.950,1815,0,0,0.841712,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
5,0.166667,61.403,8.060,1841,0,0,0.844135,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
6,0.200000,63.482,8.380,1755,0,0,0.840665,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
7,0.233333,62.115,9.272,1771,0,0,0.842590,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
8,0.266667,62.035,9.432,1772,0,0,0.840379,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
9,0.300000,63.574,9.545,1742,0,0,0.839575,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,1,0.711150,0.706436,742,72,0.133333,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
10,0.333333,62.537,9.636,1694,0,0,0.837717,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
11,0.366667,62.581,10.310,1667,0,0,0.838496,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO LASHING,NO BUNDLE,0,0,0,,,,0,1,0,0,0.711150,0.706436,742,72,0.133333,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
