frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,263.050,3.105,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,,,,,,,,,,
1,0.033333,21.658,5.029,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.701628,0.723229,908,80,0.110185,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,18.856,7.092,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
3,0.100000,17.162,11.374,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (1),0,0,1920,1080,,,,,,
4,0.133333,16.623,12.566,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
5,0.166667,21.020,15.441,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (2),0,0,1920,1080,,,,,,
6,0.200000,17.064,16.075,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
7,0.233333,17.236,19.405,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.701628,0.723229,908,80,0.110185,STAND TEMPORARILY LOST (3),0,0,1920,1080,,,,,,
8,0.266667,21.339,19.098,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,0,0,0,0.000000,0.000000,,,,NEED TWO DARK RAILS AND AN UPRIGHT,0,0,1920,1080,,,,,,
9,0.300000,18.398,19.179,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.711150,0.706436,742,72,0.133333,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
