frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,307.961,2.212,15044,3523,289,0.838453,0.721268,0.813442,0.779861,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,1,0.930470,0.627087,984,530,0.937037,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
1,0.033333,74.561,2.686,11598,3999,160,0.833167,0.751809,0.000000,0.792488,0.761364,1,0.000,0.000,VALID,CANDIDATE,1,1,0,831,947,538.000,0,1,0,1,0.930470,0.627087,984,530,0.937037,ACQUIRING STAND 1/4,0,0,1920,1080,,,,,,
2,0.066667,63.475,2.983,13568,4918,105,0.832399,0.772586,0.000000,0.802493,0.795726,1,0.000,0.000,VALID,CANDIDATE,2,1,0,794,949,616.000,0,1,0,1,0.945000,0.648489,1091,549,0.943148,ACQUIRING STAND 2/4,103,92,1851,1075,,,,,,
3,0.100000,60.491,3.747,11446,6244,0,0.829718,0.764096,0.000000,0.796907,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,0,1,0.945000,0.648489,1091,549,0.943148,ACQUIRING STAND 2/4,142,136,1813,1076,,,,,,
4,0.133333,69.108,3.873,9599,4614,90,0.829404,0.787014,0.000000,0.808209,0.858188,1,0.000,0.000,VALID,CANDIDATE,1,1,0,890,981,491.000,0,1,0,1,0.945000,0.668230,1136,552,0.947935,ACQUIRING STAND 3/4,142,136,1813,1076,,,,,,
5,0.166667,66.651,4.326,7545,5424,41,0.814038,0.807240,0.000000,0.810639,0.797098,1,0.000,0.000,VALID,CANDIDATE,2,1,0,939,995,411.700,0,1,0,1,0.945000,0.668230,1136,552,0.947935,ACQUIRING STAND 3/4,213,215,1745,1077,,,,,,
6,0.200000,68.659,4.413,5046,4386,12,0.790466,0.785265,0.000000,0.787866,0.813827,1,0.000,0.000,VALID,CANDIDATE,3,1,0,935,1002,350.145,0,1,1,1,0.945000,0.667901,1135,552,0.960275,STAND LOCKED,296,301,1675,1077,,,,,,
7,0.233333,65.147,4.771,1628,3038,0,0.757025,0.723829,0.000000,0.740427,0.740612,1,0.000,0.000,TARGET JUMP,CANDIDATE,1,1,0,907,1007,144.000,0,1,1,1,0.945000,0.667901,1135,552,0.960275,STAND LOCKED,349,383,1591,1080,,,,,,
8,0.266667,64.283,5.516,9,39,0,0.709850,0.653437,0.000000,0.681644,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.945000,0.671959,1173,554,0.963281,STAND LOCKED,390,459,1507,1080,,,,,,
9,0.300000,63.243,6.738,155,37,0,0.758351,0.642914,0.000000,0.700632,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.945000,0.671959,1173,554,0.963281,STAND LOCKED,390,459,1507,1080,,,,,,
10,0.333333,63.247,6.981,629,245,0,0.765273,0.668017,0.000000,0.716645,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,1.000000,0.671697,1186,559,0.956995,STAND LOCKED,390,459,1507,1080,,,,,,
11,0.366667,68.950,7.882,376,97,0,0.742142,0.639705,0.000000,0.690923,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,1.000000,0.671697,1186,559,0.956995,STAND LOCKED,390,459,1507,1080,,,,,,
12,0.400000,69.087,7.853,848,486,0,0.763875,0.674613,0.000000,0.719244,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.968117,0.632112,1107,612,0.858935,STAND LOCKED,390,459,1507,1080,,,,,,
13,0.433333,67.898,8.660,185,1066,0,0.757872,0.699454,0.000000,0.728663,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.968117,0.632112,1107,612,0.858935,STAND LOCKED,390,459,1507,1080,,,,,,
14,0.466667,69.006,8.396,1923,1737,0,0.767246,0.701642,0.000000,0.734444,0.000000,0,0.000,0.000,NO VALID CONTACT,NO BUNDLE,0,0,0,,,,0,1,1,1,0.993055,0.635927,1164,567,0.921752,STAND LOCKED,390,459,1507,1080,,,,,,
15,0.500000,71.604,9.030,13,1116,0,0.741433,0.726902,0.000000,0.734168,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.993055,0.635927,1164,567,0.921752,STAND LOCKED,390,459,1507,1080,,,,,,
16,0.533333,65.138,8.781,1238,1009,5,0.776023,0.723557,0.728657,0.749790,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.875700,0.583563,1166,522,0.832381,STAND LOCKED,390,459,1507,1080,,,,,,
17,0.566667,66.300,8.829,1380,1489,0,0.805116,0.779846,0.000000,0.792481,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.875700,0.583563,1166,522,0.832381,STAND LOCKED,390,459,1507,1080,,,,,,
18,0.600000,71.686,8.451,1211,1491,18,0.827872,0.768933,0.738294,0.798402,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.924081,0.554258,1185,468,0.694386,STAND LOCKED,390,459,1507,1080,,,,,,
19,0.633333,72.326,8.536,1188,613,0,0.816903,0.748883,0.000000,0.782893,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.924081,0.554258,1185,468,0.694386,STAND LOCKED,390,459,1507,1080,,,,,,
20,0.666667,70.145,8.409,1553,514,0,0.866606,0.799717,0.000000,0.833161,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.919214,0.599339,1166,411,0.583909,STAND LOCKED,390,459,1507,1080,,,,,,
21,0.700000,74.031,8.478,1351,672,0,0.879801,0.807451,0.000000,0.843626,0.000000,0,0.000,0.000,INSUFFICIENT LASHING PATTERN,NO BUNDLE,0,0,0,,,,0,1,1,1,0.919214,0.599339,1166,411,0.583909,STAND LOCKED,390,459,1507,1080,,,,,,
22,0.733333,67.020,8.562,945,323,0,0.854373,0.815624,0.000000,0.834999,0.000000,0,0.000,0.000,GEOMETRY FAIL,NO BUNDLE,0,0,0,,,,0,1,1,1,0.894551,0.579667,934,366,0.509241,STAND LOCKED,390,459,1507,1080,,,,,,
23,0.766667,68.274,9.202,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,1,1,0.894551,0.579667,934,366,0.509241,STAND LOCKED,390,459,1507,1080,,,,,,
