frame,timestamp,inference_ms,processing_fps,black_pixels,lashing_pixels,messenger_pixels,black_confidence,lashing_confidence,messenger_confidence,bundle_confidence,contact_confidence,bundle_valid,messenger_intensity_mean,messenger_intensity_std,validation_reason,target_state,consecutive_valid_frames,target_found,target_locked,target_x,target_y,target_proximity,stale_frames,stand_found,stand_locked,stand_fresh,stand_confidence,stand_black_support,stand_x,stand_y,stand_proximity,stand_reason,pidnet_roi_x1,pidnet_roi_y1,pidnet_roi_x2,pidnet_roi_y2,mission_state,mission_reason,command_forward,command_right,command_down,command_yaw_rate
0,0.000000,314.483,2.767,105,0,0,0.820774,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
1,0.033333,70.661,4.395,44,0,0,0.777896,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.744513,0.617225,842,92,0.225000,ACQUIRING STAND 1/4,,,,,,,,,,
2,0.066667,72.714,5.089,55,0,0,0.798810,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
3,0.100000,73.191,6.285,51,0,0,0.789738,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.718151,0.670851,812,69,0.169236,ACQUIRING STAND 2/4,,,,,,,,,,
4,0.133333,69.131,6.700,57,0,0,0.798975,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
5,0.166667,70.438,7.738,42,0,0,0.770921,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.658833,0.643709,865,70,0.172406,ACQUIRING STAND 3/4,,,,,,,,,,
6,0.200000,69.932,7.924,40,0,0,0.770992,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
7,0.233333,71.011,8.769,38,0,0,0.770666,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.658833,0.643709,865,70,0.172406,STAND TARGET JUMP REJECTED,,,,,,,,,,
8,0.266667,71.651,8.795,42,0,0,0.775958,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
9,0.300000,70.274,9.537,42,0,0,0.776012,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.785633,0.627202,818,70,0.183763,ACQUIRING STAND 1/4,,,,,,,,,,
10,0.333333,69.987,9.466,55,0,0,0.798252,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.785633,0.627202,818,70,0.183763,STAND TEMPORARILY LOST (1),,,,,,,,,,
11,0.366667,69.047,10.135,52,0,0,0.791694,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,0,0.785633,0.627202,818,70,0.183763,STAND TEMPORARILY LOST (1),,,,,,,,,,
12,0.400000,69.744,9.996,52,0,0,0.801875,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.773039,0.632687,724,79,0.207207,ACQUIRING STAND 1/4,,,,,,,,,,
13,0.433333,69.199,10.576,58,0,0,0.796154,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.773039,0.632687,724,79,0.207207,ACQUIRING STAND 1/4,,,,,,,,,,
14,0.466667,71.301,10.343,56,0,0,0.798537,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.575367,0.535674,677,83,0.225396,ACQUIRING STAND 2/4,,,,,,,,,,
15,0.500000,70.308,10.825,37,0,0,0.761923,0.000000,0.000000,0.000000,0.000000,0,0.000,0.000,NO BLACK,NO BUNDLE,0,0,0,,,,0,1,0,1,0.575367,0.535674,677,83,0.225396,ACQUIRING STAND 2/4,,,,,,,,,,
